pullrequest,repos
https://github.com/hapijs/boom/pull/3,https://api.github.com/repos/hapijs/boom
https://github.com/actionhero/actionhero/pull/51,https://api.github.com/repos/actionhero/actionhero
https://github.com/benlemasurier/git-ls-remote/pull/1,https://api.github.com/repos/benlemasurier/git-ls-remote
https://github.com/morrisjs/morris.js/pull/464,https://api.github.com/repos/morrisjs/morris.js
https://github.com/angular/angular.js/pull/15161,https://api.github.com/repos/angular/angular.js
https://github.com/angular/angular.js/pull/12524,https://api.github.com/repos/angular/angular.js
https://github.com/angular/angular.js/pull/13453,https://api.github.com/repos/angular/angular.js
https://github.com/florianholzapfel/express-restify-mongoose/pull/253,https://api.github.com/repos/florianholzapfel/express-restify-mongoose
https://github.com/geddy/geddy/pull/699,https://api.github.com/repos/geddy/geddy
https://github.com/i18next/i18next/pull/826/commits/d367309d4427c2d651b0f0b304504cf59c056cab,https://api.github.com/repos/i18next/i18next
https://github.com/strongloop/loopback-connector-mysql/pull/67,https://api.github.com/repos/strongloop/loopback-connector-mysql
https://github.com/punkave/sanitize-html/pull/20,https://api.github.com/repos/punkave/sanitize-html
https://github.com/angular/angular.js/pull/11290,https://api.github.com/repos/angular/angular.js
https://github.com/spumko/hapi/pull/1766,https://api.github.com/repos/spumko/hapi
https://github.com/angular/angular.js/pull/8975,https://api.github.com/repos/angular/angular.js
https://github.com/mapbox/mapbox.js/pull/1102,https://api.github.com/repos/mapbox/mapbox.js
https://github.com/swagger-api/swagger-ui/pull/2374,https://api.github.com/repos/swagger-api/swagger-ui
https://github.com/mozilla/nunjucks/pull/836,https://api.github.com/repos/mozilla/nunjucks
https://github.com/angular/angular.js/pull/14687,https://api.github.com/repos/angular/angular.js
https://github.com/hapijs/hoek/pull/23,https://api.github.com/repos/hapijs/hoek
https://github.com/knockout/knockout/pull/1022,https://api.github.com/repos/knockout/knockout
https://github.com/mqttjs/mqtt-packet/pull/8,https://api.github.com/repos/mqttjs/mqtt-packet
https://github.com/hapijs/hapi/pull/700,https://api.github.com/repos/hapijs/hapi
https://github.com/hapijs/crumb/pull/46,https://api.github.com/repos/hapijs/crumb
https://github.com/zurb/foundation-sites/pull/6640,https://api.github.com/repos/zurb/foundation-sites
https://github.com/websockets/ws/pull/832,https://api.github.com/repos/websockets/ws
https://github.com/twbs/bootstrap/pull/3421,https://api.github.com/repos/twbs/bootstrap
https://github.com/angular/angular.js/pull/3030,https://api.github.com/repos/angular/angular.js
https://github.com/jonschlinkert/remarkable/pull/228,https://api.github.com/repos/jonschlinkert/remarkable
https://github.com/select2/select2/pull/703,https://api.github.com/repos/select2/select2
https://github.com/strongloop/loopback-connector-oracle/pull/28,https://api.github.com/repos/strongloop/loopback-connector-oracle
https://github.com/kevinohara80/nforce/pull/33,https://api.github.com/repos/kevinohara80/nforce
https://github.com/rvagg/bl/pull/22,https://api.github.com/repos/rvagg/bl
https://github.com/plotly/plotly.js/pull/736,https://api.github.com/repos/plotly/plotly.js
https://github.com/angular/angular.js/pull/4933,https://api.github.com/repos/angular/angular.js
https://github.com/actionhero/actionhero/pull/972,https://api.github.com/repos/actionhero/actionhero
https://github.com/appium/appium-chromedriver/pull/51/commits/c7e384afcddf009636b8e5bb23b1f06150eda293,https://api.github.com/repos/appium/appium-chromedriver
https://github.com/zurb/foundation-sites/pull/659,https://api.github.com/repos/zurb/foundation-sites
https://github.com/isaacs/csrf-lite/pull/1,https://api.github.com/repos/isaacs/csrf-lite
https://github.com/angular/angular.js/pull/15346,https://api.github.com/repos/angular/angular.js
https://github.com/apache/cordova-plugin-file-transfer/pull/99,https://api.github.com/repos/apache/cordova-plugin-file-transfer
https://github.com/strongloop/loopback-connector-mssql/pull/18,https://api.github.com/repos/strongloop/loopback-connector-mssql
https://github.com/bloomberg/brisket/pull/138/commits/7f8f971f16d8ea6f8469b689070a797c6eddfed0,https://api.github.com/repos/bloomberg/brisket
https://github.com/ejci/favico.js/pull/98,https://api.github.com/repos/ejci/favico.js
https://github.com/angular/angular.js/pull/13826,https://api.github.com/repos/angular/angular.js
https://github.com/josephg/ShareJS/pull/217,https://api.github.com/repos/josephg/ShareJS
https://github.com/angular/angular.js/pull/12524,https://api.github.com/repos/angular/angular.js
https://github.com/erming/shout/pull/344,https://api.github.com/repos/erming/shout
https://github.com/strongloop/loopback-connector-postgresql/pull/49,https://api.github.com/repos/strongloop/loopback-connector-postgresql
https://github.com/hapijs/inert/pull/15,https://api.github.com/repos/hapijs/inert
https://github.com/visionmedia/send/pull/59,https://api.github.com/repos/visionmedia/send
https://github.com/jhipster/generator-jhipster/pull/2096,https://api.github.com/repos/jhipster/generator-jhipster
https://github.com/rendrjs/rendr/pull/513,https://api.github.com/repos/rendrjs/rendr
https://github.com/nicolaskruchten/pivottable/pull/401,https://api.github.com/repos/nicolaskruchten/pivottable
https://github.com/riot/riot/pull/46,https://api.github.com/repos/riot/riot
https://github.com/angular/angular.js/pull/12524,https://api.github.com/repos/angular/angular.js
https://github.com/pillarjs/send/pull/70,https://api.github.com/repos/pillarjs/send
https://github.com/zeroclipboard/zeroclipboard/pull/335,https://api.github.com/repos/zeroclipboard/zeroclipboard
https://github.com/chjj/marked/pull/592,https://api.github.com/repos/chjj/marked
https://github.com/cheeriojs/cheerio/pull/71,https://api.github.com/repos/cheeriojs/cheerio
https://github.com/socketio/socket.io/pull/857,https://api.github.com/repos/socketio/socket.io
https://github.com/plotly/plotly.js/pull/100,https://api.github.com/repos/plotly/plotly.js
https://github.com/plotly/plotly.js/pull/736,https://api.github.com/repos/plotly/plotly.js
https://github.com/tobli/alto-saxophone/pull/4,https://api.github.com/repos/tobli/alto-saxophone
https://github.com/angular/angular.js/pull/13417,https://api.github.com/repos/angular/angular.js
https://github.com/unshiftio/millisecond/pull/4,https://api.github.com/repos/unshiftio/millisecond
https://github.com/zeroclipboard/zeroclipboard/pull/2,https://api.github.com/repos/zeroclipboard/zeroclipboard
https://github.com/i18next/i18next/pull/443,https://api.github.com/repos/i18next/i18next
https://github.com/vdemedes/secure-compare/pull/1,https://api.github.com/repos/vdemedes/secure-compare
